#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
8.7%,8650,655.812744140625,289.77700201753356
8.7%,8700,641.9996337890625,319.67708542997366
8.8%,8750,642.8819580078125,316.73998070887245
8.8%,8800,661.07177734375,301.80335051446775
8.8%,8850,641.2178344726562,335.1034875980898
8.9%,8900,638.3871459960938,321.6118142417248
8.9%,8950,622.2587890625,319.9752854204536
9.0%,9000,648.7334594726562,325.5213372446756
9.1%,9050,680.5779418945312,305.8224725784906
9.1%,9100,632.669921875,317.9110090605303
9.2%,9150,625.1477661132812,320.39092716469537
9.2%,9200,605.18212890625,327.4503733442975
9.2%,9250,640.6362915039062,295.56648786073566
9.3%,9300,624.4344482421875,291.6674564160817
9.3%,9350,592.5985107421875,298.3028765256556
9.4%,9400,626.618408203125,299.25108393943077
9.4%,9450,609.7929077148438,302.5091864144988
9.5%,9500,640.9073486328125,296.0273803239052
9.6%,9550,594.537353515625,280.70221666836494
9.6%,9600,547.8839111328125,301.1749022413251
9.7%,9650,588.6357421875,275.47231700745124
9.7%,9700,599.3060302734375,265.04693496386517
9.8%,9750,597.7874145507812,267.22209838831105
9.8%,9800,602.332763671875,305.6173769244014
9.8%,9850,600.43212890625,332.013796798097
9.9%,9900,639.65234375,309.6758649560333
9.9%,9950,665.7232055664062,281.56939953395676
10.0%,10000,641.9976806640625,273.9525406305506
10.1%,10050,598.62841796875,303.60127942982865
10.1%,10100,575.47216796875,294.38437701491085
10.2%,10150,595.03125,292.8511494091459
10.2%,10200,631.2885131835938,263.18006790859215
10.2%,10250,623.61083984375,273.22436824459635
10.3%,10300,610.840576171875,275.2204139186674
10.3%,10350,601.3260498046875,266.26239658358736
10.4%,10400,584.421630859375,298.78467341473606
10.4%,10450,587.6441650390625,292.94095308734467
10.5%,10500,615.1176147460938,298.0358974420654
10.6%,10550,590.6216430664062,297.2908813069188
10.6%,10600,593.867919921875,329.35955159015316
10.7%,10650,598.871337890625,310.4114035787722
10.7%,10700,626.7191772460938,294.4760121338561
10.8%,10750,602.21044921875,314.47248683809283
10.8%,10800,616.8645629882812,310.8670297241939
10.8%,10850,631.8526611328125,312.44995274264403
10.9%,10900,623.0771484375,319.1746923076547
10.9%,10950,590.0040283203125,329.4226997605381
11.0%,11000,619.559326171875,308.8705697697448
11.1%,11050,623.3807983398438,312.1514741820935
11.1%,11100,620.97607421875,308.62510003147844
11.2%,11150,659.2071533203125,273.08255038519474
11.2%,11200,630.07568359375,292.2375083207327
11.2%,11250,660.124267578125,284.37970824382165
11.3%,11300,624.6754150390625,335.0640965370452
11.3%,11350,653.3767700195312,323.0294849250322
11.4%,11400,653.425048828125,334.204535931154
11.4%,11450,674.2132568359375,319.42919561334435
11.5%,11500,677.6659545898438,290.8153801293375
11.6%,11550,605.0390014648438,328.2216677943055
11.6%,11600,631.6160888671875,301.4007054896069
11.7%,11650,636.234619140625,297.87630178307563
11.7%,11700,626.7410888671875,293.4155595937107
11.8%,11750,613.8145141601562,294.85534506114556
11.8%,11800,569.406982421875,321.19568139529525
11.8%,11850,625.8704223632812,298.91319301548526
11.9%,11900,676.5516357421875,264.62242187543313
11.9%,11950,658.2555541992188,295.97820342176544
12.0%,12000,634.7467651367188,282.8917157919337
12.1%,12050,596.2471923828125,309.94833908727605
12.1%,12100,644.57568359375,292.8981147179269
12.2%,12150,632.80029296875,303.3405893588296
12.2%,12200,637.0797119140625,316.49703698265745
12.2%,12250,630.5498046875,313.54016139805515
12.3%,12300,646.9998168945312,294.9146346431102
12.3%,12350,644.4775390625,271.26381174770586
12.4%,12400,645.8073120117188,299.68261149516684
12.4%,12450,630.5545654296875,298.95699784187445
12.5%,12500,627.6909790039062,302.7228658823858
12.6%,12550,628.15185546875,277.8603175781763
12.6%,12600,662.4171752929688,243.96358512403523
12.7%,12650,599.3314819335938,266.17601917544044
12.7%,12700,622.2244262695312,266.15001418073695
12.8%,12750,633.3023071289062,279.74918088316446
12.8%,12800,608.466552734375,325.6863484945506
12.8%,12850,627.4783935546875,322.43863416036834
12.9%,12900,669.36328125,272.66750096430945
12.9%,12950,614.16162109375,315.3085063371439
13.0%,13000,620.56884765625,313.61981165059984
13.1%,13050,630.1275634765625,306.34760526787494
13.1%,13100,640.447998046875,298.27727881322465
13.2%,13150,596.1768798828125,319.3216880337114
13.2%,13200,591.09912109375,331.0446919111781
13.2%,13250,604.2113037109375,291.116756686984
13.3%,13300,596.427490234375,305.4793640055005
13.3%,13350,586.538818359375,287.8890748565054
13.4%,13400,598.8935546875,296.58732093930143
13.4%,13450,584.189697265625,295.80683576252943
13.5%,13500,589.9075927734375,303.2376291316145
13.6%,13550,608.645263671875,285.56868683742806
13.6%,13600,577.4277954101562,299.52057112509635
13.7%,13650,570.85498046875,295.1499032904632
13.7%,13700,532.734130859375,284.6437804320007
13.8%,13750,595.2162475585938,255.99788738458133
13.8%,13800,601.7434692382812,281.1288144334852
13.8%,13850,587.6350708007812,300.96768392902356
13.9%,13900,597.0372314453125,309.7096741185091
13.9%,13950,602.5963745117188,290.9719808885391
14.0%,14000,630.9547119140625,273.5452848889469
14.1%,14050,599.0279541015625,286.9540546391282
14.1%,14100,566.66455078125,298.3941449001345
14.2%,14150,562.9673461914062,330.9880405803159
14.2%,14200,603.5733032226562,309.2038340485234
14.2%,14250,613.3849487304688,305.13262113150455
14.3%,14300,634.7364501953125,320.03457411432026
14.3%,14350,630.5023193359375,330.49149375173903
14.4%,14400,662.910400390625,329.7729346571743
14.4%,14450,617.511962890625,341.13254953325816
14.5%,14500,647.96337890625,333.03587806772055
14.6%,14550,636.1036987304688,354.3620997138299
14.6%,14600,646.4158935546875,329.31608252931204
14.7%,14650,685.9776000976562,327.3117936928638
14.7%,14700,649.443603515625,316.3637394107108
14.8%,14750,615.698974609375,348.60408912624877
14.8%,14800,700.4480590820312,315.16663593861176
14.8%,14850,630.747314453125,335.76993989656603
14.9%,14900,643.31787109375,313.13862201252294
14.9%,14950,642.7762451171875,336.05728552205073
15.0%,15000,600.4668579101562,352.0394618611744
15.1%,15050,651.691162109375,322.9244437135362
15.1%,15100,637.8096923828125,341.20472597114815
15.2%,15150,662.5177001953125,305.7600846866609
15.2%,15200,656.6944580078125,302.66273546897776
15.2%,15250,628.9768676757812,328.7967245309357
15.3%,15300,637.37890625,331.6001917245798
15.3%,15350,623.2510375976562,319.6266755631229
15.4%,15400,627.8449096679688,330.8368843285236
15.4%,15450,611.8980102539062,338.0137220543477
15.5%,15500,643.801025390625,326.89492247429615
15.6%,15550,649.5399169921875,290.3727671451109
15.6%,15600,613.7667236328125,332.02652586994583
15.7%,15650,610.5346069335938,297.11267643193645
15.7%,15700,619.0570068359375,297.3857610465394
15.8%,15750,626.2222900390625,297.7727120130639
15.8%,15800,642.9385986328125,265.1785686535537
15.8%,15850,614.0589599609375,297.08736853948403
15.9%,15900,636.44921875,268.67129383803575
15.9%,15950,594.4332275390625,294.3909481132939
16.0%,16000,617.7935791015625,281.24330221397463
16.1%,16050,602.3975219726562,283.3210537580722
16.1%,16100,630.190673828125,288.6084043840791
16.1%,16150,602.326904296875,298.5348927821423
16.2%,16200,605.1123657226562,295.41421397429104
16.2%,16250,613.5599365234375,284.62481514205257
16.3%,16300,616.2323608398438,275.14176596838263
16.4%,16350,572.2677612304688,311.1953173018473
16.4%,16400,621.600341796875,269.4224079221918
16.4%,16450,625.1240234375,267.87694834792785
16.5%,16500,609.3394165039062,287.92323576179217
16.6%,16550,639.1248779296875,278.51893248521435
16.6%,16600,595.3887939453125,289.744886051217
16.6%,16650,622.82470703125,297.9593086873239
16.7%,16700,603.4076538085938,299.19069153711513
